,teamId,period,timeInPeriod,shotType,xCoord,yCoord,shooterId,shooterName,goalieId,goalieName,typeDescKey
3,52.0,1,00:38,wrist,-36.0,-28.0,8477504.0,Josh Morrissey,8475883.0,Frederik Andersen,shot-on-goal
5,52.0,1,00:49,wrist,-75.0,1.0,8473574.0,Shawn Matthias,8475883.0,Frederik Andersen,shot-on-goal
9,52.0,1,01:03,backhand,-73.0,10.0,8473412.0,Bryan Little,8475883.0,Frederik Andersen,shot-on-goal
14,10.0,1,01:46,wrist,80.0,-3.0,8470611.0,Eric Fehr,8473461.0,Steve Mason,shot-on-goal
22,52.0,1,03:42,snap,-44.0,-21.0,8479339.0,Patrik Laine,8475883.0,Frederik Andersen,shot-on-goal
23,52.0,1,03:50,slap,-38.0,-5.0,8470834.0,Dustin Byfuglien,8475883.0,Frederik Andersen,shot-on-goal
25,52.0,1,04:30,slap,-47.0,-23.0,8474574.0,Tyler Myers,8475883.0,Frederik Andersen,shot-on-goal
26,52.0,1,04:39,wrist,-62.0,21.0,8477940.0,Nikolaj Ehlers,8475883.0,Frederik Andersen,shot-on-goal
27,52.0,1,04:49,wrist,-36.0,-18.0,8476885.0,Jacob Trouba,8475883.0,Frederik Andersen,shot-on-goal
29,10.0,1,05:11,snap,60.0,7.0,8466139.0,Patrick Marleau,8473461.0,Steve Mason,shot-on-goal
38,52.0,1,05:54,wrist,-64.0,-38.0,8477940.0,Nikolaj Ehlers,8475883.0,Frederik Andersen,shot-on-goal
45,10.0,1,07:12,wrist,-80.0,11.0,8468493.0,Ron Hainsey,8473461.0,Steve Mason,shot-on-goal
49,52.0,1,08:08,slap,-63.0,-14.0,8477504.0,Josh Morrissey,8475883.0,Frederik Andersen,shot-on-goal
56,10.0,1,09:21,wrist,68.0,1.0,8474037.0,James van Riemsdyk,8473461.0,Steve Mason,shot-on-goal
62,52.0,1,10:03,snap,-73.0,18.0,8470834.0,Dustin Byfuglien,8475883.0,Frederik Andersen,shot-on-goal
65,52.0,1,07:31,backhand,-81.0,-2.0,8476885.0,Jacob Trouba,8475883.0,Frederik Andersen,shot-on-goal
68,52.0,1,11:50,wrist,-85.0,-6.0,8476392.0,Adam Lowry,8475883.0,Frederik Andersen,shot-on-goal
72,52.0,1,12:48,deflected,-76.0,0.0,8473412.0,Bryan Little,8475883.0,Frederik Andersen,shot-on-goal
75,52.0,1,12:56,slap,-37.0,-1.0,8476885.0,Jacob Trouba,8475883.0,Frederik Andersen,shot-on-goal
78,10.0,1,13:26,backhand,78.0,-4.0,8468493.0,Ron Hainsey,8473461.0,Steve Mason,shot-on-goal
87,52.0,1,15:03,wrist,61.0,-38.0,8476392.0,Adam Lowry,8475883.0,Frederik Andersen,shot-on-goal
89,10.0,1,15:40,wrist,85.0,-7.0,8474037.0,James van Riemsdyk,8473461.0,Steve Mason,shot-on-goal
102,10.0,1,17:36,deflected,69.0,4.0,8470611.0,Eric Fehr,8473461.0,Steve Mason,shot-on-goal
116,52.0,1,19:53,snap,-79.0,-5.0,8476392.0,Adam Lowry,8475883.0,Frederik Andersen,shot-on-goal
120,10.0,1,15:43,wrist,85.0,-6.0,8474037.0,James van Riemsdyk,8473461.0,Steve Mason,shot-on-goal
128,52.0,2,02:10,wrist,70.0,0.0,8473574.0,Shawn Matthias,8475883.0,Frederik Andersen,shot-on-goal
130,52.0,2,02:38,slap,34.0,-24.0,8470834.0,Dustin Byfuglien,8475883.0,Frederik Andersen,shot-on-goal
132,52.0,2,02:40,wrist,80.0,2.0,8477429.0,Andrew Copp,8475883.0,Frederik Andersen,shot-on-goal
147,52.0,2,06:12,wrist,52.0,27.0,8476460.0,Mark Scheifele,8475883.0,Frederik Andersen,shot-on-goal
148,52.0,2,06:22,wrist,52.0,23.0,8476460.0,Mark Scheifele,8475883.0,Frederik Andersen,shot-on-goal
149,10.0,2,06:43,wrist,35.0,-23.0,8476853.0,Morgan Rielly,8473461.0,Steve Mason,shot-on-goal
150,52.0,2,07:39,slap,73.0,23.0,8474574.0,Tyler Myers,8475883.0,Frederik Andersen,shot-on-goal
152,52.0,2,08:02,wrist,34.0,-9.0,8476885.0,Jacob Trouba,8475883.0,Frederik Andersen,shot-on-goal
155,10.0,2,08:48,wrist,-39.0,25.0,8476941.0,Connor Carrick,8473461.0,Steve Mason,shot-on-goal
166,10.0,2,10:34,slap,84.0,31.0,8479458.0,Nikita Zaitsev,8473461.0,Steve Mason,shot-on-goal
168,52.0,2,11:02,backhand,80.0,5.0,8473412.0,Bryan Little,8475883.0,Frederik Andersen,shot-on-goal
171,52.0,2,11:50,wrist,35.0,-5.0,8470834.0,Dustin Byfuglien,8475883.0,Frederik Andersen,shot-on-goal
173,52.0,2,12:03,slap,45.0,-22.0,8471218.0,Blake Wheeler,8475883.0,Frederik Andersen,shot-on-goal
174,10.0,2,12:51,wrist,-55.0,2.0,8475172.0,Nazem Kadri,8473461.0,Steve Mason,shot-on-goal
181,10.0,2,13:28,slap,-43.0,17.0,8478483.0,Mitch Marner,8473461.0,Steve Mason,shot-on-goal
202,10.0,2,17:25,wrist,-70.0,10.0,8475172.0,Nazem Kadri,8473461.0,Steve Mason,shot-on-goal
205,10.0,2,17:52,backhand,-80.0,1.0,8473463.0,Leo Komarov,8473461.0,Steve Mason,shot-on-goal
222,52.0,3,00:51,snap,-57.0,-26.0,8470828.0,Toby Enstrom,8475883.0,Frederik Andersen,shot-on-goal
235,52.0,3,03:11,snap,-69.0,16.0,8476392.0,Adam Lowry,8475883.0,Frederik Andersen,shot-on-goal
238,10.0,3,03:25,tip-in,16.0,22.0,8466139.0,Patrick Marleau,8476945.0,Connor Hellebuyck,shot-on-goal
243,52.0,3,04:58,slap,-52.0,-16.0,8476885.0,Jacob Trouba,8475883.0,Frederik Andersen,shot-on-goal
244,52.0,3,05:04,backhand,-75.0,5.0,8473618.0,Mathieu Perreault,8475883.0,Frederik Andersen,shot-on-goal
246,52.0,3,05:54,slap,-35.0,18.0,8470834.0,Dustin Byfuglien,8475883.0,Frederik Andersen,shot-on-goal
250,10.0,3,06:34,snap,66.0,-16.0,8474037.0,James van Riemsdyk,8476945.0,Connor Hellebuyck,shot-on-goal
252,10.0,3,06:35,backhand,62.0,14.0,8475172.0,Nazem Kadri,8476945.0,Connor Hellebuyck,shot-on-goal
254,10.0,3,06:47,wrist,62.0,-19.0,8477939.0,William Nylander,8476945.0,Connor Hellebuyck,shot-on-goal
258,10.0,3,07:48,wrist,60.0,15.0,8480158.0,Andreas Borgman,8476945.0,Connor Hellebuyck,shot-on-goal
261,10.0,3,08:04,wrist,35.0,3.0,8476853.0,Morgan Rielly,8476945.0,Connor Hellebuyck,shot-on-goal
265,10.0,3,08:05,wrist,79.0,0.0,8474037.0,James van Riemsdyk,8476945.0,Connor Hellebuyck,shot-on-goal
266,10.0,3,09:06,snap,58.0,24.0,8476853.0,Morgan Rielly,8476945.0,Connor Hellebuyck,shot-on-goal
269,52.0,3,09:18,wrist,-79.0,-1.0,8471218.0,Blake Wheeler,8475883.0,Frederik Andersen,shot-on-goal
288,52.0,3,13:55,wrist,-66.0,8.0,8476460.0,Mark Scheifele,8475883.0,Frederik Andersen,shot-on-goal
292,10.0,3,15:52,backhand,83.0,-28.0,8466139.0,Patrick Marleau,8476945.0,Connor Hellebuyck,shot-on-goal
296,52.0,3,16:56,wrist,-10.0,-27.0,8479339.0,Patrik Laine,8475883.0,Frederik Andersen,shot-on-goal
90,10.0,1,15:45,wrist,84.0,-6.0,8475172.0,Nazem Kadri,8473461.0,Steve Mason,goal
105,10.0,1,17:40,wrist,62.0,5.0,8474037.0,James van Riemsdyk,8473461.0,Steve Mason,goal
109,10.0,1,18:23,wrist,84.0,-22.0,8477939.0,William Nylander,8473461.0,Steve Mason,goal
153,10.0,2,08:32,backhand,-82.0,2.0,8466139.0,Patrick Marleau,8473461.0,Steve Mason,goal
219,10.0,3,00:36,wrist,68.0,12.0,8466139.0,Patrick Marleau,8473461.0,Steve Mason,goal
262,10.0,3,08:07,wrist,85.0,-6.0,8478483.0,Mitch Marner,8476945.0,Connor Hellebuyck,goal
278,52.0,3,11:31,snap,-82.0,8.0,8476460.0,Mark Scheifele,8475883.0,Frederik Andersen,goal
280,10.0,3,11:57,tip-in,84.0,-3.0,8479318.0,Auston Matthews,8476945.0,Connor Hellebuyck,goal
283,52.0,3,12:57,wrist,-80.0,1.0,8473618.0,Mathieu Perreault,8475883.0,Frederik Andersen,goal
4,5.0,1,00:16,wrist,57.0,4.0,8471724.0,Kris Letang,8474596.0,Jake Allen,shot-on-goal
9,19.0,1,00:48,backhand,-78.0,3.0,8476436.0,Dmitrij Jaskin,8476899.0,Matt Murray,shot-on-goal
11,19.0,1,01:11,wrist,-52.0,24.0,8475765.0,Vladimir Tarasenko,8476899.0,Matt Murray,shot-on-goal
13,19.0,1,01:11,backhand,-81.0,5.0,8475170.0,Brayden Schenn,8476899.0,Matt Murray,shot-on-goal
18,19.0,1,01:47,wrist,-43.0,34.0,8474565.0,Alex Pietrangelo,8476899.0,Matt Murray,shot-on-goal
25,5.0,1,03:29,wrist,9.0,-18.0,8471436.0,Matt Hunwick,8474596.0,Jake Allen,shot-on-goal
27,5.0,1,04:08,snap,77.0,0.0,8477839.0,Conor Sheary,8474596.0,Jake Allen,shot-on-goal
33,5.0,1,05:13,slap,40.0,0.0,8475208.0,Brian Dumoulin,8474596.0,Jake Allen,shot-on-goal
34,5.0,1,05:18,wrist,63.0,12.0,8471215.0,Evgeni Malkin,8474596.0,Jake Allen,shot-on-goal
39,5.0,1,06:20,wrist,-29.0,-20.0,8476874.0,Olli Määttä,8474596.0,Jake Allen,shot-on-goal
55,19.0,1,08:08,wrist,-78.0,-12.0,8474125.0,Carl Gunnarsson,8476899.0,Matt Murray,shot-on-goal
56,19.0,1,08:16,wrist,-81.0,-7.0,8476436.0,Dmitrij Jaskin,8476899.0,Matt Murray,shot-on-goal
57,19.0,1,08:20,wrist,-64.0,19.0,8475170.0,Brayden Schenn,8476899.0,Matt Murray,shot-on-goal
63,19.0,1,08:49,tip-in,-80.0,5.0,8471669.0,Paul Stastny,8476899.0,Matt Murray,shot-on-goal
69,5.0,1,09:52,wrist,35.0,-25.0,8474602.0,Justin Schultz,8474596.0,Jake Allen,shot-on-goal
72,5.0,1,10:39,wrist,37.0,-14.0,8474602.0,Justin Schultz,8474596.0,Jake Allen,shot-on-goal
74,5.0,1,10:41,wrist,81.0,-5.0,8476293.0,Scott Wilson,8474596.0,Jake Allen,shot-on-goal
85,5.0,1,12:36,wrist,40.0,32.0,8471436.0,Matt Hunwick,8474596.0,Jake Allen,shot-on-goal
95,19.0,1,14:57,backhand,-73.0,1.0,8469501.0,Chris Thorburn,8476899.0,Matt Murray,shot-on-goal
102,19.0,1,15:34,wrist,-30.0,11.0,8474565.0,Alex Pietrangelo,8476899.0,Matt Murray,shot-on-goal
121,5.0,1,19:22,wrist,16.0,-29.0,8474176.0,Carl Hagelin,8474596.0,Jake Allen,shot-on-goal
132,19.0,2,00:15,wrap-around,87.0,-7.0,8471669.0,Paul Stastny,8476899.0,Matt Murray,shot-on-goal
138,19.0,2,01:39,wrist,63.0,34.0,8475175.0,Magnus Paajarvi,8476899.0,Matt Murray,shot-on-goal
142,5.0,2,01:59,wrist,-77.0,-15.0,8471817.0,Ryan Reaves,8474596.0,Jake Allen,shot-on-goal
148,19.0,2,03:19,tip-in,71.0,2.0,8476436.0,Dmitrij Jaskin,8476899.0,Matt Murray,shot-on-goal
156,19.0,2,04:33,slap,44.0,21.0,8470105.0,Scottie Upshall,8476899.0,Matt Murray,shot-on-goal
164,5.0,2,05:25,snap,-77.0,-15.0,8475735.0,Greg McKegg,8474596.0,Jake Allen,shot-on-goal
169,19.0,2,06:14,wrist,69.0,-36.0,8474565.0,Alex Pietrangelo,8476899.0,Matt Murray,shot-on-goal
179,5.0,2,09:13,wrist,-47.0,-20.0,8476874.0,Olli Määttä,8474596.0,Jake Allen,shot-on-goal
183,5.0,2,10:19,tip-in,-81.0,-3.0,8473548.0,Phil Kessel,8474596.0,Jake Allen,shot-on-goal
185,19.0,2,10:33,wrist,76.0,20.0,8476436.0,Dmitrij Jaskin,8476899.0,Matt Murray,shot-on-goal
186,19.0,2,10:35,wrist,78.0,10.0,8475768.0,Jaden Schwartz,8476899.0,Matt Murray,shot-on-goal
191,19.0,2,11:41,wrist,63.0,-27.0,8476897.0,Oskar Sundqvist,8476899.0,Matt Murray,shot-on-goal
206,5.0,2,14:42,wrist,-67.0,12.0,8477839.0,Conor Sheary,8474596.0,Jake Allen,shot-on-goal
209,5.0,2,15:12,wrist,-68.0,-32.0,8475208.0,Brian Dumoulin,8474596.0,Jake Allen,shot-on-goal
218,19.0,2,16:50,wrist,74.0,-12.0,8475768.0,Jaden Schwartz,8476899.0,Matt Murray,shot-on-goal
223,5.0,2,17:54,wrist,-60.0,-30.0,8471724.0,Kris Letang,8474596.0,Jake Allen,shot-on-goal
225,5.0,2,17:57,wrist,-89.0,-7.0,8475832.0,Tom Kuhnhackl,8474596.0,Jake Allen,shot-on-goal
226,5.0,2,17:56,wrist,-90.0,-7.0,8474176.0,Carl Hagelin,8474596.0,Jake Allen,shot-on-goal
231,19.0,2,18:39,slap,36.0,-16.0,8474565.0,Alex Pietrangelo,8476899.0,Matt Murray,shot-on-goal
236,19.0,2,18:55,wrist,35.0,10.0,8476441.0,Joel Edmundson,8476899.0,Matt Murray,shot-on-goal
239,19.0,2,19:31,slap,51.0,29.0,8476441.0,Joel Edmundson,8476899.0,Matt Murray,shot-on-goal
244,19.0,3,00:17,wrist,-32.0,-33.0,8476441.0,Joel Edmundson,8476899.0,Matt Murray,shot-on-goal
245,19.0,3,00:30,backhand,-73.0,10.0,8471669.0,Paul Stastny,8476899.0,Matt Murray,shot-on-goal
249,5.0,3,01:33,wrist,38.0,27.0,8476874.0,Olli Määttä,8474596.0,Jake Allen,shot-on-goal
281,5.0,3,08:07,wrist,66.0,34.0,8474176.0,Carl Hagelin,8474596.0,Jake Allen,shot-on-goal
290,19.0,3,09:09,backhand,-80.0,0.0,8475768.0,Jaden Schwartz,8476899.0,Matt Murray,shot-on-goal
293,19.0,3,09:15,snap,-37.0,-34.0,8476441.0,Joel Edmundson,8476899.0,Matt Murray,shot-on-goal
295,5.0,3,09:58,wrist,50.0,-21.0,8473548.0,Phil Kessel,8474596.0,Jake Allen,shot-on-goal
296,5.0,3,10:02,wrist,86.0,-14.0,8471215.0,Evgeni Malkin,8474596.0,Jake Allen,shot-on-goal
304,19.0,3,10:38,wrist,-53.0,-8.0,8475170.0,Brayden Schenn,8476899.0,Matt Murray,shot-on-goal
310,19.0,3,11:10,slap,-38.0,23.0,8474565.0,Alex Pietrangelo,8476899.0,Matt Murray,shot-on-goal
315,5.0,3,12:23,wrist,55.0,19.0,8473548.0,Phil Kessel,8474596.0,Jake Allen,shot-on-goal
322,5.0,3,13:44,slap,78.0,-11.0,8471215.0,Evgeni Malkin,8474596.0,Jake Allen,shot-on-goal
333,5.0,3,17:24,wrist,85.0,-10.0,8471675.0,Sidney Crosby,8474596.0,Jake Allen,shot-on-goal
335,5.0,3,17:38,slap,35.0,-1.0,8474602.0,Justin Schultz,8474596.0,Jake Allen,shot-on-goal
339,5.0,3,18:28,snap,54.0,-13.0,8473548.0,Phil Kessel,8474596.0,Jake Allen,shot-on-goal
340,19.0,3,18:41,wrist,-71.0,16.0,8474565.0,Alex Pietrangelo,8476899.0,Matt Murray,shot-on-goal
44,5.0,1,06:37,snap,45.0,10.0,8474602.0,Justin Schultz,8474596.0,Jake Allen,goal
59,19.0,1,08:31,wrist,-78.0,3.0,8475170.0,Brayden Schenn,8476899.0,Matt Murray,goal
111,19.0,1,17:45,snap,-62.0,5.0,8476892.0,Colton Parayko,8476899.0,Matt Murray,goal
194,5.0,2,12:37,snap,-38.0,-13.0,8476874.0,Olli Määttä,8474596.0,Jake Allen,goal
213,19.0,2,15:37,snap,63.0,4.0,8474565.0,Alex Pietrangelo,8476899.0,Matt Murray,goal
258,19.0,3,03:38,wrist,-57.0,8.0,8471669.0,Paul Stastny,8476899.0,Matt Murray,goal
321,5.0,3,13:46,wrist,80.0,-1.0,8471675.0,Sidney Crosby,8474596.0,Jake Allen,goal
325,5.0,3,14:40,wrist,81.0,-15.0,8477839.0,Conor Sheary,8474596.0,Jake Allen,goal
349,19.0,4,01:15,wrist,62.0,-6.0,8474565.0,Alex Pietrangelo,8476899.0,Matt Murray,goal
6,22.0,1,00:35,backhand,82.0,-2.0,8478402.0,Connor McDavid,8469608.0,Mike Smith,shot-on-goal
8,22.0,1,01:06,wrist,39.0,31.0,8476472.0,Oscar Klefbom,8469608.0,Mike Smith,shot-on-goal
13,22.0,1,01:25,snap,79.0,30.0,8476458.0,Ryan Strome,8469608.0,Mike Smith,shot-on-goal
18,20.0,1,02:05,wrist,-73.0,3.0,8471346.0,Kris Versteeg,8475660.0,Cam Talbot,shot-on-goal
22,22.0,1,03:31,backhand,82.0,-20.0,8478402.0,Connor McDavid,8469608.0,Mike Smith,shot-on-goal
42,20.0,1,05:52,slap,-37.0,-24.0,8470966.0,Mark Giordano,8475660.0,Cam Talbot,shot-on-goal
46,20.0,1,06:19,snap,-58.0,16.0,8476462.0,Dougie Hamilton,8475660.0,Cam Talbot,shot-on-goal
51,20.0,1,07:14,wrist,-17.0,9.0,8477497.0,Sean Monahan,8475660.0,Cam Talbot,shot-on-goal
52,22.0,1,07:31,wrist,78.0,-5.0,8473914.0,Mark Letestu,8469608.0,Mike Smith,shot-on-goal
53,22.0,1,07:25,wrist,69.0,-10.0,8473914.0,Mark Letestu,8469608.0,Mike Smith,shot-on-goal
56,22.0,1,07:32,wrap-around,82.0,4.0,8473914.0,Mark Letestu,8469608.0,Mike Smith,shot-on-goal
62,22.0,1,08:59,snap,63.0,22.0,8473473.0,Milan Lucic,8469608.0,Mike Smith,shot-on-goal
69,20.0,1,09:26,wrist,-76.0,-3.0,8474150.0,Mikael Backlund,8475660.0,Cam Talbot,shot-on-goal
71,22.0,1,09:49,snap,80.0,34.0,8477498.0,Darnell Nurse,8469608.0,Mike Smith,shot-on-goal
76,22.0,1,10:26,wrist,85.0,-30.0,8477934.0,Leon Draisaitl,8469608.0,Mike Smith,shot-on-goal
80,22.0,1,11:00,wrist,83.0,-4.0,8477934.0,Leon Draisaitl,8469608.0,Mike Smith,shot-on-goal
83,20.0,1,11:07,tip-in,-70.0,6.0,8475907.0,Micheal Ferland,8475660.0,Cam Talbot,shot-on-goal
98,20.0,1,12:51,wrist,-75.0,-2.0,8477497.0,Sean Monahan,8475660.0,Cam Talbot,shot-on-goal
106,20.0,1,14:24,slap,-37.0,-27.0,8470966.0,Mark Giordano,8475660.0,Cam Talbot,shot-on-goal
110,22.0,1,15:10,tip-in,49.0,-25.0,8478402.0,Connor McDavid,8469608.0,Mike Smith,shot-on-goal
123,22.0,1,17:01,tip-in,28.0,5.0,8469638.0,Jussi Jokinen,8469608.0,Mike Smith,shot-on-goal
124,20.0,1,17:09,snap,-56.0,-11.0,8479314.0,Matthew Tkachuk,8475660.0,Cam Talbot,shot-on-goal
127,20.0,1,17:15,snap,-40.0,38.0,8476462.0,Dougie Hamilton,8475660.0,Cam Talbot,shot-on-goal
132,22.0,1,17:56,snap,45.0,-12.0,8476472.0,Oscar Klefbom,8469608.0,Mike Smith,shot-on-goal
135,22.0,1,18:23,snap,50.0,0.0,8476458.0,Ryan Strome,8469608.0,Mike Smith,shot-on-goal
138,20.0,1,18:58,snap,-60.0,0.0,8470966.0,Mark Giordano,8475660.0,Cam Talbot,shot-on-goal
140,20.0,1,19:31,snap,-20.0,4.0,8475907.0,Micheal Ferland,8475660.0,Cam Talbot,shot-on-goal
145,20.0,1,19:59,tip-in,-83.0,-5.0,8475907.0,Micheal Ferland,8475660.0,Cam Talbot,shot-on-goal
153,22.0,2,00:56,wrist,-53.0,-24.0,8476472.0,Oscar Klefbom,8469608.0,Mike Smith,shot-on-goal
157,22.0,2,01:16,snap,-46.0,29.0,8476457.0,Adam Larsson,8469608.0,Mike Smith,shot-on-goal
179,22.0,2,05:05,wrist,-51.0,-14.0,8471729.0,Kris Russell,8469608.0,Mike Smith,shot-on-goal
181,22.0,2,05:18,wrist,-63.0,-36.0,8471729.0,Kris Russell,8469608.0,Mike Smith,shot-on-goal
186,22.0,2,06:08,wrist,-76.0,-2.0,8478402.0,Connor McDavid,8469608.0,Mike Smith,shot-on-goal
187,22.0,2,06:17,wrist,-75.0,-1.0,8476472.0,Oscar Klefbom,8469608.0,Mike Smith,shot-on-goal
188,22.0,2,06:21,wrist,-76.0,1.0,8474034.0,Patrick Maroon,8469608.0,Mike Smith,shot-on-goal
194,22.0,2,07:16,slap,-41.0,13.0,8476472.0,Oscar Klefbom,8469608.0,Mike Smith,shot-on-goal
203,22.0,2,08:27,backhand,-80.0,-23.0,8476457.0,Adam Larsson,8469608.0,Mike Smith,shot-on-goal
205,20.0,2,08:41,snap,61.0,-21.0,8474628.0,Michael Stone,8475660.0,Cam Talbot,shot-on-goal
207,22.0,2,09:05,wrist,-59.0,-29.0,8475178.0,Zack Kassian,8469608.0,Mike Smith,shot-on-goal
217,22.0,2,09:39,slap,-55.0,-21.0,8476472.0,Oscar Klefbom,8469608.0,Mike Smith,shot-on-goal
220,20.0,2,09:59,slap,41.0,13.0,8474673.0,TJ Brodie,8475660.0,Cam Talbot,shot-on-goal
227,20.0,2,11:51,wrist,70.0,34.0,8470966.0,Mark Giordano,8475660.0,Cam Talbot,shot-on-goal
238,20.0,2,13:01,wrist,22.0,-22.0,8479314.0,Matthew Tkachuk,8475660.0,Cam Talbot,shot-on-goal
239,22.0,2,13:16,backhand,-88.0,9.0,8477934.0,Leon Draisaitl,8469608.0,Mike Smith,shot-on-goal
242,20.0,2,13:54,wrist,80.0,3.0,8477497.0,Sean Monahan,8475660.0,Cam Talbot,shot-on-goal
246,20.0,2,15:16,wrist,46.0,-21.0,8471346.0,Kris Versteeg,8475660.0,Cam Talbot,shot-on-goal
249,22.0,2,15:31,wrist,-60.0,25.0,8474034.0,Patrick Maroon,8469608.0,Mike Smith,shot-on-goal
256,20.0,2,16:48,backhand,73.0,-27.0,8474749.0,Matt Bartkowski,8475660.0,Cam Talbot,shot-on-goal
266,20.0,2,18:50,wrist,85.0,14.0,8475907.0,Micheal Ferland,8475660.0,Cam Talbot,shot-on-goal
269,20.0,2,19:28,wrist,67.0,-33.0,8471346.0,Kris Versteeg,8475660.0,Cam Talbot,shot-on-goal
280,22.0,3,00:52,wrist,79.0,-17.0,8477934.0,Leon Draisaitl,8469608.0,Mike Smith,shot-on-goal
282,22.0,3,00:53,wrist,83.0,-4.0,8474034.0,Patrick Maroon,8469608.0,Mike Smith,shot-on-goal
292,22.0,3,02:35,snap,73.0,32.0,8477934.0,Leon Draisaitl,8469608.0,Mike Smith,shot-on-goal
294,22.0,3,03:37,snap,52.0,5.0,8475178.0,Zack Kassian,8469608.0,Mike Smith,shot-on-goal
297,20.0,3,04:07,wrist,95.0,10.0,8474749.0,Matt Bartkowski,8475660.0,Cam Talbot,shot-on-goal
301,20.0,3,04:58,snap,-52.0,-33.0,8471346.0,Kris Versteeg,8475660.0,Cam Talbot,shot-on-goal
303,22.0,3,06:10,snap,46.0,12.0,8476472.0,Oscar Klefbom,8469608.0,Mike Smith,shot-on-goal
306,22.0,3,06:41,snap,60.0,28.0,8477498.0,Darnell Nurse,8469608.0,Mike Smith,shot-on-goal
310,22.0,3,07:05,backhand,66.0,-26.0,8469638.0,Jussi Jokinen,8469608.0,Mike Smith,shot-on-goal
313,22.0,3,07:11,wrist,47.0,29.0,8477498.0,Darnell Nurse,8469608.0,Mike Smith,shot-on-goal
319,20.0,3,07:55,wrist,-81.0,-2.0,8470162.0,Matt Stajan,8475660.0,Cam Talbot,shot-on-goal
324,22.0,3,08:24,wrist,74.0,24.0,8476472.0,Oscar Klefbom,8469608.0,Mike Smith,shot-on-goal
325,22.0,3,08:45,slap,30.0,23.0,8476472.0,Oscar Klefbom,8469608.0,Mike Smith,shot-on-goal
330,20.0,3,09:57,wrist,-54.0,-3.0,8477497.0,Sean Monahan,8475660.0,Cam Talbot,shot-on-goal
335,22.0,3,10:30,wrist,32.0,27.0,8477498.0,Darnell Nurse,8469608.0,Mike Smith,shot-on-goal
341,22.0,3,11:37,wrist,78.0,3.0,8475178.0,Zack Kassian,8469608.0,Mike Smith,shot-on-goal
367,22.0,3,16:39,snap,68.0,21.0,8471729.0,Kris Russell,8469608.0,Mike Smith,shot-on-goal
372,22.0,3,16:43,wrist,78.0,2.0,8479465.0,Drake Caggiula,8469608.0,Mike Smith,shot-on-goal
380,20.0,3,18:30,snap,-67.0,-23.0,8476462.0,Dougie Hamilton,8475660.0,Cam Talbot,shot-on-goal
81,22.0,1,11:01,wrist,80.0,12.0,8478402.0,Connor McDavid,8469608.0,Mike Smith,goal
321,22.0,3,08:07,wrist,77.0,-5.0,8478402.0,Connor McDavid,8469608.0,Mike Smith,goal
383,22.0,3,19:01,wrist,68.0,1.0,8478402.0,Connor McDavid,,,goal
3,28.0,1,00:33,backhand,29.0,-40.0,8474571.0,Mikkel Boedker,8470880.0,Brian Elliott,shot-on-goal
6,28.0,1,01:05,slap,-28.0,24.0,8470613.0,Brent Burns,8470880.0,Brian Elliott,shot-on-goal
7,28.0,1,01:10,snap,-31.0,-15.0,8470613.0,Brent Burns,8470880.0,Brian Elliott,shot-on-goal
11,4.0,1,01:28,wrist,63.0,-11.0,8479974.0,Nolan Patrick,8474889.0,Martin Jones,shot-on-goal
26,4.0,1,02:50,wrist,63.0,20.0,8478500.0,Ivan Provorov,8474889.0,Martin Jones,shot-on-goal
53,4.0,1,08:09,wrist,60.0,-11.0,8477290.0,Michael Raffl,8474889.0,Martin Jones,shot-on-goal
63,28.0,1,09:59,slap,-67.0,34.0,8470613.0,Brent Burns,8470880.0,Brian Elliott,shot-on-goal
64,28.0,1,10:04,slap,-35.0,-18.0,8476331.0,Dylan DeMelo,8470880.0,Brian Elliott,shot-on-goal
71,4.0,1,11:05,backhand,87.0,-7.0,8470047.0,Valtteri Filppula,8474889.0,Martin Jones,shot-on-goal
77,4.0,1,12:35,wrist,52.0,32.0,8477462.0,Robert Hagg,8474889.0,Martin Jones,shot-on-goal
83,28.0,1,13:43,slap,-38.0,-4.0,8476919.0,Chris Tierney,8470880.0,Brian Elliott,shot-on-goal
84,28.0,1,13:53,slap,-37.0,13.0,8475455.0,Brenden Dillon,8470880.0,Brian Elliott,shot-on-goal
88,4.0,1,14:11,wrist,86.0,-7.0,8479974.0,Nolan Patrick,8474889.0,Martin Jones,shot-on-goal
104,28.0,1,17:15,slap,-38.0,-11.0,8475455.0,Brenden Dillon,8470880.0,Brian Elliott,shot-on-goal
115,28.0,1,19:37,wrist,-55.0,-4.0,8476881.0,Tomas Hertl,8470880.0,Brian Elliott,shot-on-goal
122,4.0,2,00:14,wrist,-46.0,30.0,8476461.0,Sean Couturier,8474889.0,Martin Jones,shot-on-goal
124,28.0,2,00:49,wrist,82.0,-33.0,8474053.0,Logan Couture,8470880.0,Brian Elliott,shot-on-goal
132,28.0,2,02:00,wrist,62.0,21.0,8478099.0,Kevin Labanc,8470880.0,Brian Elliott,shot-on-goal
135,28.0,2,02:48,slap,40.0,-14.0,8471709.0,Marc-Edouard Vlasic,8470880.0,Brian Elliott,shot-on-goal
138,28.0,2,03:35,wrist,97.0,2.0,8471498.0,Jannik Hansen,8470880.0,Brian Elliott,shot-on-goal
140,28.0,2,03:56,slap,34.0,-21.0,8470613.0,Brent Burns,8470880.0,Brian Elliott,shot-on-goal
